id,place,location,date,lat,lng,location_date
1,,,1/1/1000,0,0,
12469,"NEW YORK, [NY];",Hotel Netherland,4/16/1900,40.7643133,-73.9725243,"Hotel Netherland, 1900-04-16"
12474,"DELMONICO'S, [NEW YORK, NY];",Alpha Of Zeta Psi,4/17/1900,41.059086,-74.013896,"Alpha Of Zeta Psi, 1900-04-17"
12475,"NEW YORK, NY",Manhattan Hotel,4/18/1900,40.7622311,-73.9829525,"Manhattan Hotel, 1900-04-18"
12505,NY,Bartholdi Hotel,2/18/1900,40.7103938,-74.0067035,"Bartholdi Hotel, 1900-02-18"
12507,75 ST. & COLUMBUS AVE. NY,Haan's,2/19/1900,40.7252705,-74.000507,"Haan's, 1900-02-19"
12518,"48 EAST 14TH STREET,[NEW YORK,NY?]",Columbia Restaurant,6/3/1901,40.748225,-73.879474,"Columbia Restaurant, 1901-06-03"
12564,"BROADWAY AND 44TH ST,NEW YORK,NY",Rector's,5/13/1900,40.7093441,-74.016035,"Rector's, 1900-05-13"
12568,"BROADWAY & 10TH STREET, NEW YORK, [NY]",John Wanamaker,5/14/1900,41.1122351,-74.1191107,"John Wanamaker, 1900-05-14"
12575,NY,Grenoble Hotel,3/30/1900,40.7625249,-73.9837987,"Grenoble Hotel, 1900-03-30"
12704,NY,Netherland Hotel,4/1/1900,40.7643133,-73.9725243,"Netherland Hotel, 1900-04-01"
12736,"75TH STREET AND COLUMBUS AVE,NEW YORK,NY",Haan's,2/20/1900,40.7252705,-74.000507,"Haan's, 1900-02-20"
12737,"WEST 125TH STREET,NEW YORK,NY",West End Hotel Restaurant,2/20/1900,40.285113,-73.984138,"West End Hotel Restaurant, 1900-02-20"
12754,"UNION SQUARE,NEW YORK,NY",Everett House,4/23/1900,40.71137,-73.627194,"Everett House, 1900-04-23"
12774,"NEW YORK, NY",Savoy Hotel,3/14/1900,40.7657507,-73.9786867,"Savoy Hotel, 1900-03-14"
12782,"NEW YORK, NY",Empire Hotel,1/12/1900,40.7714959,-73.9826673,"Empire Hotel, 1900-01-12"
12783,"NEW YORK, NY",Colonial Hotel,2/12/1900,40.744878,-73.999983,"Colonial Hotel, 1900-02-12"
12784,"NEW YORK, NY",Minot Hotel,2/12/1900,40.708985,-74.0091629,"Minot Hotel, 1900-02-12"
12789,"57 BROAD ST., NEW YORK, NY",Cafeteria Lunch,2/13/1900,40.7405211,-73.997999,"Cafeteria Lunch, 1900-02-13"
12803,"BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, [NEW YORK, NY];",Mills Hotel Restaurant,4/6/1900,40.731176,-74.540158,"Mills Hotel Restaurant, 1900-04-06"
12804,"[NEW YORK, NY]",Union League Club,4/7/1900,40.7489557,-73.9803779,"Union League Club, 1900-04-07"
12807,"BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, [NEW YORK, NY];",Mills Hotel Restaurant,4/7/1900,40.731176,-74.540158,"Mills Hotel Restaurant, 1900-04-07"
12815,"NEW YORK, NY",Central Restaurant,4/26/1900,40.741583,-74.170593,"Central Restaurant, 1900-04-26"
12819,"NEW YORK, NY",Central Restaurant Co.,4/26/1900,40.7574284,-73.9703792,"Central Restaurant Co., 1900-04-26"
12831,"42ND ST. & MAD. AVE, NY",Manhattan Hotel,3/1/1900,40.7622311,-73.9829525,"Manhattan Hotel, 1900-03-01"
