"","id","name","sponsor","event","venue","place","physical_description","occasion","notes","call_number","keywords","language","date","location","location_type","currency","currency_symbol","status","page_count","dish_count","lat","lng"
"1",12469,"","HOTEL NETHERLAND","SUPPER","COMMERCIAL","NEW YORK, [NY];","CARD; ILLUS; COL; 6.0X8.75;","","HOTEL CREST IN BLUE; PRICED MENU;","1900-2838",NA,NA,"1900-04-16","Hotel Netherland",NA,"Dollars","$","complete",2,144,40.7643133,-73.9725243
"2",12473,"","HOTEL MARLBOROUGH","CAFE LUNCHEON","COMMERCIAL","[NEW YORK, NY]","CARD; ILLUS; COL; 4.25X5.5;","","HOTEL CREST IN BLUE;","1900-2843",NA,NA,"1900-04-17","Hotel Marlborough",NA,"","","complete",2,19,40.7326143,-73.9967972
"3",12474,"","ALPHA OF ZETA PSI","ANNUAL BANQUET","COMMERCIAL","DELMONICO'S, [NEW YORK, NY];","BOOKLET; ILLUS; COL; 5.5X7.0;","","VELLUM COVER; CREST OF ZETA PSI; TIED WITH BLUE SATIN RIBBON; PRICED WINE LIST; ALPHA CHAPTER OFFICERS; BANQUET COMMITTEE; TOASTS; LYRICS TO ""ZETA PSI, WE PLEDGE TO-NIGHT"" , A POEM, ""THE BADGE OF ZETA PSI""; LYRICS OF ""NEATH THE ARCH OFZETA'S TEMPLE"", AND ","1900-2844",NA,NA,"1900-04-17","Alpha Of Zeta Psi",NA,"Dollars","$","complete",12,38,41.059086,-74.013896
"4",12475,"","MANHATTAN HOTEL","DINNER","COMMERCIAL","NEW YORK, NY","CARD; ILLUS; 6X9.5;","","A LA CARTE DU JOUR; HOTEL SEAL AT TOP OF MENU;","1900-2847",NA,NA,"1900-04-18","Manhattan Hotel",NA,"Dollars","$","complete",2,176,40.7622311,-73.9829525
"5",12483,"","MANHATTAN HOTEL","CARTE DU JOUR","COMMERCIAL","NEW YORK, NY","CARD; ILLUS; 6X9.5;","","A LA CARTE MENU; HOTEL SEAL AT TOP OF MENU;","1900-2859",NA,NA,"1900-04-18","Manhattan Hotel",NA,"Dollars","$","complete",2,129,40.7622311,-73.9829525
"6",12498,"","CAFE BOULEVARD","SUNDAY DINNER","COMMERCIAL","156 SECOND AVENUE (NY?)","CARD; COL; ILLUS; 5 X 7;","","PRIX FIXE DINNER; FOOD APPEARS TO BE HUNGARIAN;PALE BLUE; ORNAMENTAL BORDER;","1900-2903",NA,NA,"1900-04-22","Cafe Boulevard",NA,"Cents","c","complete",2,17,40.8691521,-74.4192245
"7",12505,"","BARTHOLDI HOTEL","BREAKFAST","COMMERCIAL","NY","BROADSIDE; COL; 7 X 11.75;","DAILY","VERY POOR CONDITION;","1900-1137",NA,NA,"1900-02-18","Bartholdi Hotel",NA,"Dollars","$","complete",2,203,40.7103938,-74.0067035
"8",12506,"","BARTHOLDI HOTEL","LUNCH & DINNER","COMMERCIAL","23RD ST & BWAY NY","FOLDER; ILLUS;8.25 X 14;","DAILY","MANY ITEMS HANDWRITTEN; HOURS INCLUDED;","1900-1138",NA,NA,"1900-02-18","Bartholdi Hotel",NA,"Dollars","$","complete",4,336,40.7103938,-74.0067035
"9",12507,"","HAAN'S","SUPPER","COMMERCIAL","75 ST. & COLUMBUS AVE. NY","BROADSHEET; COL; 7 X 11;","DAILY","COMPLETE WINE LIST ON BACK;","1900-1140",NA,NA,"1900-02-19","Haan's",NA,"Dollars","$","complete",2,392,40.7252705,-74.000507
"10",12508,"","MARIE ANTOINETTE HOTEL","LUNCHEON","COMMERCIAL","66 ST. & BWAY. NY","BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;","DAILY","","1900-1141",NA,NA,"1900-02-19","Marie Antoinette Hotel",NA,"Dollars","$","complete",2,82,0,0
"11",12510,"","MARIE ANTOINETTE HOTEL","DINNER","COMMERCIAL","66 ST. & B'WAY. NY","BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;","DAILY","","1900-1173",NA,NA,"1900-02-20","Marie Antoinette Hotel",NA,"Dollars","$","complete",2,128,0,0
"12",12511,"","THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY","ANNUAL DINNER","POL;","HOTEL SAVOY,NEW YORK,NY","BOOKLET;ILL;COL;4.25X6.25;","ANNIVERSARY;","WINES SERVED;INDIVIDUAL'S NAME ON FRONT COVER;FOUR STANZAS OF THE STAR SPANGLED BANNER WRITTEN OUT;NAMES;SEATING PLAN ATTACHED;","1900-1174",NA,NA,"1900-02-20","Third Panel Sheriff's Jury New York County",NA,"","","complete",12,35,40.738801,-73.6343929
"13",12518,"","COLUMBIA RESTAURANT","DAILY MENU","COMMERCIAL","48 EAST 14TH STREET,[NEW YORK,NY?]","FOLDER;ILLUS;7.25X11.5;","DAILY;","2 COPIES;WINE LIST;","1901-1527",NA,NA,"1901-06-03","Columbia Restaurant",NA,"Dollars","$","complete",4,475,40.748225,-73.879474
"14",12529,"","NEW YORK MEDICAL CLUB","DINNER","PROF;","MANHATTAN HOTEL, NEW YORK, NY","FOLDER; ILLUS; COL; 3X4.5;","","LISTS WINES SERVED WITH INDIVIDUAL COURSES; DECORATIVE WREATH ON COVER;","1900-2144",NA,NA,"1900-02-26","New York Medical Club",NA,"","","complete",4,17,40.7335514,-73.9928157
"15",12546,"","MR. JOHN MORGAN","DINNER TO THE BOARD OF OFFICERS OF THE CATHOLIC CLUB OF THE CITY OF NEW YORK","RELIG;","CATHOLIC CLUB, BANQUET HALL,NY","FOLDER;COL;7.5X7.5;","COMPLIMENTARY/TESTIMONIAL","WINES;RIBBON AT LEFT;","1901-1547",NA,NA,"1901-06-06","Mr. John Morgan",NA,"","","complete",4,19,40.7492258,-73.9813971
"16",12555,"","LONG BEACH HOTEL","ANNUAL OUTING OF EDWARD THOMPSON CO.","COMMERCIAL","LONG BEACH, LI, [NY];","BROADSHEET; 4.5X7.0;","","","1900-4117",NA,NA,"1900-08-21","Long Beach Hotel",NA,"","","complete",2,20,40.5850722,-73.6520627
"17",12559,"","ASSOCIATION OF EMPLOYING BOOKBINDERS","BANQUET","PROF;","SAVOY HOTEL, NEW YORK, NY","BOOKLET; ILLUS; 5.5X7;","ANNIVERSARY;","FRENCH; PRICED WINE CARD AFFIXED TO INSIDE COVER; SEAL & MOTTO OF ASSOCIATION ON COVER; TOASTS & MUSICAL PROGRAM INCLUDED; LIST OF MEMBER BOOKBINDING FIRMS; SILK CORD ATTACHMENT;","1900-2156",NA,NA,"1900-02-26","Association Of Employing Bookbinders",NA,"Dollars","$","complete",8,30,0,0
"18",12560,"","DELMONICOS","MENU","","NEW YORK, NY","FOLDER; ILLUS; COL; 4.5X7;","","FRENCH; LIST OF WINES; ENGRAVED PORTRAIT OF A WOMAN ON COVER; (POSSIBLY A PRIVATE PARTY?);","1900-2157",NA,NA,"1900-02-26","Delmonicos",NA,"","","complete",4,34,40.7049016,-74.010377
"19",12564,"","RECTOR'S","DAILY MENU","COMMERCIAL","BROADWAY AND 44TH ST,NEW YORK,NY","FOLDER;ILL;COL;7X9.5;","DAILY;","SPECIAL DISHES ON SEPARATE CARD FASTENED WITH RIBBON IN PUNCHED HOLE;","1900-3265",NA,NA,"1900-05-13","Rector's",NA,"Dollars","$","complete",6,358,40.7093441,-74.016035
"20",12567,"","STATLER'S","DINNER","COMMERCIAL","ELLICOTT SQUARE, BUFFALO, [NY];","CARD; ILLUS; 3.25X6.25;","","ILLUS: WOMAN HOLDING TEACUP AND SAUCER;","1900-3268",NA,NA,"1900-05-14","Statler's",NA,"","","complete",2,17,40.7497232,-73.9900428
"21",12568,"","JOHN WANAMAKER","[LUNCH]","COMMERCIAL","BROADWAY & 10TH STREET, NEW YORK, [NY]","BROADSHEET; ILLUS; COL; 4.75X7.75","","ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;","1900-3270",NA,NA,"1900-05-14","John Wanamaker",NA,"Dollars","$","complete",2,72,41.1122351,-74.1191107
"22",12575,"","GRENOBLE HOTEL","SOUPER","COMMERCIAL","NY","BROADSHEET; ILLUS.BORDER; COL; 7 X 11;","DAILY","COMPLETE WINE LIST ON BACK;","1900-2619",NA,NA,"1900-03-30","Grenoble Hotel",NA,"Dollars","$","complete",2,255,40.7625249,-73.9837987
"23",12704,"","NETHERLAND HOTEL","A LA CARTE MENU","COMMERCIAL","NY","FOLDER; ILLUS; COL; 6.5 X 11;","DAILY","","1900-2637",NA,NA,"1900-04-01","Netherland Hotel",NA,"Dollars","$","complete",4,389,40.7643133,-73.9725243
"24",12705,"","MILLS HOTEL","DINNER","COMMERCIAL","BLEECKER ST. NY","BROADSHEET; 3.75 X 6;","DAILY","DINNER SERVED FROM 11;30 TO 9 PM; BREAKFAST MENU ON BACK;","1900-2638",NA,NA,"1900-04-01","Mills Hotel",NA,"","","complete",2,67,40.6577644,-73.6487733
"25",12722,"","JOHN WANAMAKER","BREAKFAST","COMMERCIAL","NEW YORK, [NY]","BROADSIDE; 4.75X8.25;","","DATE HAND-WRITTEN [FEB?];","1900-3271",NA,NA,"1900-05-14","John Wanamaker",NA,"","","complete",2,40,41.1122351,-74.1191107
"26",12724,"","JOHN WANAMAKER","DAILY MENU","COMMERCIAL","BROADWAY & 10TH STREET, NEW YORK, [NY]","FOLDER; ILLUS; COL; 6.25X10.5;","","ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;","1900-3277",NA,NA,"1900-05-14","John Wanamaker",NA,"Dollars","$","complete",4,242,41.1122351,-74.1191107
"27",12736,"","HAAN'S","LUNCH","COMMERCIAL","75TH STREET AND COLUMBUS AVE,NEW YORK,NY","CARD;ILL;COL;5X8.25;","DAILY;","WINE LIST;","1900-1175",NA,NA,"1900-02-20","Haan's",NA,"Dollars","$","complete",2,191,40.7252705,-74.000507
"28",12737,"","WEST END HOTEL RESTAURANT","DAILY","COMMERCIAL","WEST 125TH STREET,NEW YORK,NY","FOLDER;COL;7X12.25;","DAILY;","WINE LIST;PRICE CHANGES;","1900-1179",NA,NA,"1900-02-20","West End Hotel Restaurant",NA,"Dollars","$","complete",4,378,40.285113,-73.984138
"29",12747,"","HASKIN'S RESTAURANT","BREAKFAST","COMMERCIAL","117 WEST 34TH STREET,NEW YORK,NY","CARD;5X7","DAILY;","","1900-1192",NA,NA,"1900-02-21","Haskin's Restaurant",NA,"","","complete",2,43,40.834452,-73.82919
"30",12754,"","EVERETT HOUSE","BREAKFAST","COMMERCIAL","UNION SQUARE,NEW YORK,NY","FOLDER;ILL;COL;7X11L","DAILY;","EMBLEM AND DECORATION ON FRONT COVER;HANDWRITTEN DATE BY FB;WINE LIST ON BACK;","1900-2930",NA,NA,"1900-04-23","Everett House",NA,"Dollars","$","complete",4,516,40.71137,-73.627194
"31",12755,"","EVERETT HOUSE","BILL OF FARE","COMMERCIAL","UNION SQUARE,NEW YORK,NY","FOLDER;ILL;COL;7X11L","DAILY;","EMBLEM AND DECORATION ON FRONT COVER;HANDWRITTEN DATE BY FB;WINE LIST ON BACK;","1900-2931",NA,NA,"1900-04-23","Everett House",NA,"Dollars","$","complete",4,579,40.71137,-73.627194
"32",12774,"","SAVOY HOTEL","MENU","COMMERCIAL","NEW YORK, NY","BOOKLET; ILLUS; COL; 6.5X10;","","A LA CARTE PRICED MENU; HOTEL SEAL ON COVER;","1900-2418",NA,NA,"1900-03-14","Savoy Hotel",NA,"Dollars","$","complete",2,144,40.7657507,-73.9786867
"33",12781,"","BROADWAY CENTRAL HOTEL","DINNER MENU","COMMERCIAL","NEW YORK, NY","FOLDER; ILLUS; COL; 5.5X9;","","ONE OF A LARGE NUMBER OF MENUS WE HAVE HAD IN PAST; INCLUDES BIRD'S-EYE MAP OF NEW YORK PLUS OBJECTS OF INTEREST IN AND ABOUT NEW YORK;","1900-1012",NA,NA,"1900-02-12","Broadway Central Hotel",NA,"Dollars","$","complete",4,63,40.76442,-73.982675
"34",12782,"","EMPIRE HOTEL","DINNER MENU","COMMERCIAL","NEW YORK, NY","FOLDER; ILLUS; COL; 6.25X8.75;","","A LA CARTE DU JOUR DINNER MENU; INCLUDES EXTENSIVE PRICED WINE LIST; HOTEL MONOGRAM ON COVER;","1900-1014",NA,NA,"1900-01-12","Empire Hotel",NA,"Dollars","$","complete",4,300,40.7714959,-73.9826673
"35",12783,"","COLONIAL HOTEL","MENU","COMMERCIAL","NEW YORK, NY","FOLDER; ILLUS; 6.25X10;","","[DATE HANDWRITTEN]; MANY ADDITIONAL ITEMS TO MENU HANDWRITTEN; ""CREAM WITH TEA, COFFEE, ETC.,FIVE CENTS EXTRA;"" ILLUSTRATION OF HOTEL ON COVER;","1900-1015",NA,NA,"1900-02-12","Colonial Hotel",NA,"Dollars","$","complete",4,378,40.744878,-73.999983
"36",12784,"","MINOT HOTEL","CAFE & RESTAURANT MENU","COMMERCIAL","NEW YORK, NY","FOLDER; ILLUS; 7X11;","","PRICED MENU AND WINE LIST; ""RUSSIAN CAVIAR-25 CENTS;"" DECORATIVE FLEUR DE LIS ON COVER;","1900-1017",NA,NA,"1900-02-12","Minot Hotel",NA,"Dollars","$","complete",4,322,40.708985,-74.0091629
"37",12789,"","CAFETERIA LUNCH","BILL OF FARE","COMMERCIAL","57 BROAD ST., NEW YORK, NY","FOLDER; ILLUS; COL; 6X9.5;","","WE HAVE HAD THIS RESTAURANT BEFORE; SPECIALS MIMEOGRAPHED IN LAVENDAR HANDWRITING; ""SPECIAL DISHES FOR DAY AFTER LINCOLN'S BIRTHDAY -- SHADES OF LINCOLN: I REALLY BELIEVE THE CIVIL WAR WOULD HAVE BEEN AVERTED BY CAFETERIAS IN 1861;"" DECORATIVE BORDER, MOO","1900-1029",NA,NA,"1900-02-13","Cafeteria Lunch",NA,"Dollars","$","complete",4,115,40.7405211,-73.997999
"38",12792,"","EVELYN RESTAURANT","TABLE D'HOTE LUNCH","COMMERCIAL","CORNER 78TH ST., OPPOSITE MUSEUM OF NATURAL HISTORY, NEW YORK, NY","BROADSIDE; 4.25X7;","","HANDWRITTEN; TABLE D'HOTE LUNCH, 60 CENTS;","1900-1033",NA,NA,"1900-02-13","Evelyn Restaurant",NA,"","","complete",2,11,40.497966,-74.4487432
"39",12793,"","MARIE ANTOINETTE HOTEL","LUNCHEON MENU","COMMERCIAL","NEW YORK, NY","BROADSIDE; ILLUS; COL; 4.5X7.5;","","PRICED A LA CARTE MENU; HOTEL SEAL AT TOP OF MENU;","1900-1035",NA,NA,"1900-02-13","Marie Antoinette Hotel",NA,"Dollars","$","complete",2,82,0,0
"40",12798,"","BAPTIST SOCIAL UNION","DINNER","RELIG;","HOTEL MANHATTAN,NY","FOLDER;ILL;4X5.5;","","","1900-2662",NA,NA,"1900-04-05","Baptist Social Union",NA,"","","complete",4,19,40.7006834,-73.6253354
"41",12799,"","MILLS HOTEL RESTAURANT","DINNER","COMMERCIAL","BLEECKER,THOMPSON,AND SULLIVAN STREETS,[NY]","BROADSHEET;3.75X6;","DAILY;","","1900-2663",NA,NA,"1900-04-05","Mills Hotel Restaurant",NA,"","","complete",2,21,40.731176,-74.540158
"42",12803,"","MILLS HOTEL RESTAURANT","BILL OF FARE/BREAKFAST/DINNER","COMMERCIAL","BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, [NEW YORK, NY];","BROADSHEET; 3.75X6.0;","","REGULAR DINNER: 15 CENTS: SOUP, ONE MEAT DISH, TWO VEGETABLES, DESSERT, TEA, COFFEE OR MILK;","1900-2673",NA,NA,"1900-04-06","Mills Hotel Restaurant",NA,"Dollars","$","complete",2,46,40.731176,-74.540158
